"school_name","lea_name","hispanic_attendance","pct_hispanic","pct_change"
"Northwood High","Montgomery",876,56.9570871261378,-11.0659898477157
"Joann Leleck At Broad Acres Elementary","Montgomery",595,87.6288659793814,-10.9281437125748
"Dundalk High","Baltimore County",884,47.374062165059,-10.435663627153
"Springbrook High","Montgomery",767,42.7536231884058,-9.23076923076923
"Albert Einstein High","Montgomery",881,45.9572248304643,-8.98760330578512
"Quince Orchard High","Montgomery",701,35.3148614609572,-8.84265279583876
"Langley Park-Mccormick Elementary","Prince Georges",621,97.1830985915493,-8.5419734904271
"Frederick High","Frederick",724,42.093023255814,-8.47029077117573
"Rockville High","Montgomery",663,43.1640625,-8.42541436464088
"Northwestern High","Prince Georges",1626,72.1064301552106,-7.13877784123358
"Harmony Hills Elementary","Montgomery",518,85.0574712643678,-7.00179533213644
"John F. Kennedy High","Montgomery",1191,66.6107382550336,-6.734534064213
"Nicholas Orem Middle","Prince Georges",817,87.1002132196162,-6.52173913043478
"Annapolis High","Anne Arundel",965,48.3466933867735,-6.4922480620155
"Gaithersburg High","Montgomery",1429,60.9901835253948,-6.47905759162304
"Sargent Shriver Elementary","Montgomery",539,77.7777777777778,-6.42361111111112
"Buck Lodge Middle","Prince Georges",844,73.2003469210755,-6.22222222222222
"Col. Zadok Magruder High","Montgomery",690,43.0711610486891,-6.12244897959183
"Weller Road Elementary","Montgomery",546,81.8590704647676,-5.86206896551724
"John Ruhrah Elementary/Middle","Baltimore City",898,89.3532338308458,-5.67226890756303
