"school_name","year","lea_name","hispanic_attendance","total_attendance","pct_hispanic","pct_change"
"Beltsville Academy",2026,"Prince Georges",857,1067,80.3186504217432,-3.49099099099099
"Northwood High",2026,"Montgomery",876,1538,56.9570871261378,-11.0659898477157
"Albert Einstein High",2026,"Montgomery",881,1917,45.9572248304643,-8.98760330578512
"Dundalk High",2026,"Baltimore County",884,1866,47.374062165059,-10.435663627153
"Seneca Valley High",2026,"Montgomery",884,2373,37.2524230931311,2.55220417633411
"John Ruhrah Elementary/Middle",2026,"Baltimore City",898,1005,89.3532338308458,-5.67226890756303
"Watkins Mill High",2026,"Montgomery",908,1551,58.5428755641522,-5.02092050209205
"Hyattsville Middle",2026,"Prince Georges",957,1406,68.0654338549075,10
"Annapolis High",2026,"Anne Arundel",965,1996,48.3466933867735,-6.4922480620155
"Sonia Sotomayor Middle At Adelphi",2026,"Prince Georges",994,1097,90.6107566089335,0.100704934541795
"Laurel High",2026,"Prince Georges",1008,2105,47.8859857482185,0.598802395209574
"Duval High",2026,"Prince Georges",1123,2603,43.1425278524779,1.17117117117118
"John F. Kennedy High",2026,"Montgomery",1191,1788,66.6107382550336,-6.734534064213
"Montgomery Blair High",2026,"Montgomery",1191,3196,37.2653316645807,-4.2604501607717
"Gaithersburg High",2026,"Montgomery",1429,2343,60.9901835253948,-6.47905759162304
"Wheaton High",2026,"Montgomery",1564,2689,58.162885831164,-5.55555555555556
"Bladensburg High",2026,"Prince Georges",1569,2053,76.4247442766683,-4.09535452322738
"Northwestern High",2026,"Prince Georges",1626,2255,72.1064301552106,-7.13877784123358
"Parkdale High",2026,"Prince Georges",1728,2523,68.4898929845422,-3.67892976588629
"High Point High",2026,"Prince Georges",2380,2865,83.0715532286213,-4.49438202247191
