"lea_name","year","attendance","total_attendance","pct_hispanic","pct_change"
"Allegany",2026,148,8081,1.83145650290806,11.2781954887218
"Anne Arundel",2026,18941,84256,22.4802981390049,-0.147609257209136
"Baltimore City",2026,15302,76340,20.0445375949699,0.13742556115437
"Baltimore County",2026,20050,107981,18.5680814217316,1.52926878671258
"Calvert",2026,1355,14740,9.19267299864315,4.15065334358187
"Caroline",2026,1250,5598,22.3294033583423,3.73443983402491
"Carroll",2026,2429,25724,9.44254392784948,1.41962421711901
"Cecil",2026,1651,14455,11.4216534071256,1.72520024645717
"Charles",2026,4335,27904,15.5354071100917,1.68895144264603
"Dorchester",2026,666,4486,14.8461881408827,4.38871473354232
"Frederick",2026,10309,47884,21.5291120207167,-0.597820846591457
"Garrett",2026,45,3335,1.34932533733133,7.14285714285714
"Harford",2026,3784,37378,10.1236021188935,0.638297872340421
"Howard",2026,8171,57031,14.3272956812961,-0.765120233179495
"Kent",2026,241,1699,14.1848145968217,6.63716814159292
"Montgomery",2026,54883,156049,35.1703631551628,-3.23189223499541
"Prince Georges",2026,54297,130629,41.5658085111269,-0.290147828482235
"Queen Annes",2026,1052,7399,14.2181375861603,2.1359223300971
"Saint Marys",2026,1682,16581,10.1441408841445,3.57142857142858
"Seed",2026,10,418,2.39234449760766,Inf
"Somerset",2026,314,2849,11.021411021411,3.28947368421053
"Talbot",2026,1208,4423,27.3117793352928,-1.94805194805194
"Washington",2026,4229,22594,18.7173585907763,5.43505360259287
"Wicomico",2026,2302,15401,14.9470813583534,-2.12585034013606
"Worcester",2026,602,6985,8.6184681460272,-5.9375
