STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
ALABAMA,Autauga County Sheriff's Office ,County ,Autauga County,Task Force Model,9/22/2025,link,
ALABAMA,Autauga County Sheriff's Office ,County ,Autauga County,Warrant Service Officer,9/22/2025,link,
ALABAMA,Autauga County Sheriff's Office ,County ,Autauga County,Jail Enforcement Model ,9/22/2025,link,
ALABAMA,Baldwin County Sheriff's Office,County ,Baldwin County,Task Force Model,10/17/2025,link,
ALABAMA,Blount County Sheriff's Office,County,Blount County,Task Force Model,1/26/2026,link,
ALABAMA,Camp Hill Police Department,Municipality,Tallapoosa County,Task Force Model,12/8/2025,link,
ALABAMA,Cedar Bluff Police Department,Municipality,Cherokee County,Task Force Model,4/29/2026,link pending,
ALABAMA,Cherokee County Sheriff's Office,County,Cherokee County,Task Force Model,2/10/2026,link,
ALABAMA,Cherokee County Sheriff's Office,County,Cherokee County,Warrant Service Officer,6/25/2025,link,
ALABAMA,Cherokee Police Department,Municipality,Cherokee County,Task Force Model,2/14/2026,link,
ALABAMA,Clarke County Sheriff's Office,County,Clarke County,Task Force Model,1/30/2026,link,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Task Force Model,7/2/2025,link,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Warrant Service Officer,5/8/2025,link,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Jail Enforcement Model,5/8/2025,link,
ALABAMA,Courtland Police Department ,Municipality,Lawrence County,Task Force Model,3/13/2026,link,
ALABAMA,Crenshaw County Sheriff's Office,County,Crenshaw County,Warrant Service Officer,4/16/2025,link,
ALABAMA,DeKalb County Sheriff's Office,County,DeKalb County,Task Force Model,12/8/2025,link,
ALABAMA,Demopolis Police Department,Municipality ,Marengo County,Task Force Model,1/26/2026,link,
ALABAMA,Eclectic Police Department,Municipality,Elmore County,Task Force Model,5/21/2026,link pending,
ALABAMA,Elberta Police Department ,Municipality,Baldwin County ,Task Force Model,11/14/2025,link,
ALABAMA,Elmore County Sheriff's Office,County,Elmore County,Jail Enforcement Model,3/17/2025,link,
ALABAMA,Etowah County Sheriff's Office,County,Etowah County,Task Force Model,12/8/2025,link,
ALABAMA,Etowah County Sheriff's Office,County,Etowah County,Jail Enforcement Model,6/9/2020,link,
ALABAMA,Florala Police Department,Municipality,Covington County,Task Force Model,2/23/2026,link,
ALABAMA,Foley Police Department,Municipality,Baldwin County,Task Force Model,3/25/2026,link,
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Task Force Model,11/6/2025,link,
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Warrant Service Officer,3/26/2025,link,
ALABAMA,Franklin County Sheriff's Office,County,Frankin County,Jail Enforcement Model,6/11/2025,link,
ALABAMA,Hale County Sheriff's Office,County,Hale County,Task Force Model,3/31/2026,link,
ALABAMA,Henry County Sheriff's Office,County,Henry County,Task Force Model,12/11/2025,link,
ALABAMA,Henry County Sheriff's Office,County,Henry County,Warrant Service Officer,3/17/2025,link,
ALABAMA,Henry County Sheriff's Office,County,Henry County,Jail Enforcement Model,3/17/2025,link,
ALABAMA,Jackson Police Department,Municipality,Clarke County,Task Force Model,1/7/2026,link,
ALABAMA,Jackson's Gap Police Department,Municipality ,Tallapoosa County,Task Force Model,1/26/2026,link,
ALABAMA,Lanett Police Department ,Municipality,Chambers County,Task Force Model,9/22/2025,link,
ALABAMA,Lauderdale County Sheriff's Office,County,Lauderdale County,Task Force Model,10/17/2025,link,
ALABAMA,Lauderdale County Sheriff's Office,County,Lauderdale County,Warrant Service Officer,6/12/2025,link,
ALABAMA,Lauderdale County Sheriff's Office,County,Lauderdale County,Jail Enforcement Model,6/12/2025,link,
ALABAMA,Lawrence County Sheriff's Office,County,Lawrence County,Task Force Model,6/18/2025,link,
ALABAMA,Lawrence County Sheriff's Office,County,Lawrence County,Warrant Service Officer,6/30/2025,link,
ALABAMA,Leesburg Police Department,Municipality,Cherokee County,Task Force Model,4/7/2026,link,
ALABAMA,Level Plains Police Department,Municipality,#N/A,Task Force Model,6/18/2025,link,
ALABAMA,Limestone County Sheriff's Office,County,Limestone County,Task Force Model,6/11/2025,link,
ALABAMA,Limestone County Sheriff's Office,County,Limestone County,Warrant Service Officer,5/22/2025,link,
ALABAMA,Littleville Police Department,Municipality ,Colbert County,Task Force Model,2/10/2026,link,
ALABAMA,Lockhart Police Department,Municipality,Covington County,Task Force Model,4/27/2026,link pending,
ALABAMA,Loxley Police Department,Municipality,Baldwin County ,Task Force Model,1/7/2026,link,
ALABAMA,Margaret Police Department,Municipality,St. Clair County,Task Force Model,12/17/2025,link,
