"lea_name","year","attendance","pct_change"
"Allegany",2020,52,NA
"Allegany",2021,60,15.3846153846154
"Allegany",2022,95,58.3333333333333
"Allegany",2023,77,-18.9473684210526
"Allegany",2024,95,23.3766233766234
"Allegany",2025,133,40
"Allegany",2026,148,11.2781954887218
"Anne Arundel",2020,14530,NA
"Anne Arundel",2021,14919,2.67721954576738
"Anne Arundel",2022,15698,5.22152959313626
"Anne Arundel",2023,17045,8.58071091858836
"Anne Arundel",2024,17911,5.08066881783513
"Anne Arundel",2025,18969,5.90698453464351
"Anne Arundel",2026,18941,-0.147609257209136
"Baltimore City",2020,10414,NA
"Baltimore City",2021,10802,3.725753792971
"Baltimore City",2022,11995,11.0442510646177
"Baltimore City",2023,12880,7.37807419758232
"Baltimore City",2024,13951,8.31521739130434
"Baltimore City",2025,15281,9.5333667837431
"Baltimore City",2026,15302,0.13742556115437
"Baltimore County",2020,13650,NA
"Baltimore County",2021,13746,0.703296703296696
"Baltimore County",2022,15490,12.6873272224647
"Baltimore County",2023,16946,9.39961265332472
"Baltimore County",2024,18339,8.22022896258705
"Baltimore County",2025,19748,7.68307977534217
"Baltimore County",2026,20050,1.52926878671258
"Calvert",2020,1028,NA
"Calvert",2021,1027,-0.0972762645914393
"Calvert",2022,1174,14.3135345666991
"Calvert",2023,1289,9.79557069846677
"Calvert",2024,1301,0.93095422808378
"Calvert",2025,1301,0
"Calvert",2026,1355,4.15065334358187
"Caroline",2020,932,NA
"Caroline",2021,923,-0.965665236051505
"Caroline",2022,992,7.47562296858071
"Caroline",2023,1059,6.75403225806452
"Caroline",2024,1133,6.98772426817753
"Caroline",2025,1205,6.35481023830538
"Caroline",2026,1250,3.73443983402491
"Carroll",2020,1772,NA
"Carroll",2021,1811,2.20090293453725
"Carroll",2022,1950,7.67531750414137
"Carroll",2023,2157,10.6153846153846
"Carroll",2024,2285,5.93416782568381
"Carroll",2025,2395,4.81400437636761
"Carroll",2026,2429,1.41962421711901
"Cecil",2020,1190,NA
"Cecil",2021,1212,1.84873949579831
"Cecil",2022,1285,6.02310231023102
"Cecil",2023,1406,9.41634241245137
"Cecil",2024,1508,7.25462304409672
"Cecil",2025,1623,7.62599469496021
"Cecil",2026,1651,1.72520024645717
"Charles",2020,2708,NA
"Charles",2021,2836,4.72673559822747
"Charles",2022,3184,12.2708039492243
"Charles",2023,3587,12.6570351758794
"Charles",2024,3826,6.66294954000557
"Charles",2025,4263,11.4218504966022
"Charles",2026,4335,1.68895144264603
"Dorchester",2020,426,NA
"Dorchester",2021,447,4.92957746478873
"Dorchester",2022,458,2.46085011185682
"Dorchester",2023,532,16.1572052401747
"Dorchester",2024,583,9.58646616541354
"Dorchester",2025,638,9.43396226415094
"Dorchester",2026,666,4.38871473354232
"Frederick",2020,7874,NA
"Frederick",2021,8175,3.82270764541528
"Frederick",2022,9005,10.1529051987768
"Frederick",2023,9651,7.17379233759023
"Frederick",2024,10048,4.1135633613097
"Frederick",2025,10371,3.21457006369428
"Frederick",2026,10309,-0.597820846591457
"Garrett",2020,12,NA
"Garrett",2021,23,91.6666666666667
"Garrett",2022,35,52.1739130434783
"Garrett",2023,37,5.71428571428572
"Garrett",2024,36,-2.7027027027027
"Garrett",2025,42,16.6666666666667
"Garrett",2026,45,7.14285714285714
"Harford",2020,2989,NA
"Harford",2021,2965,-0.802944128471061
"Harford",2022,3239,9.24114671163576
"Harford",2023,3401,5.00154368632293
"Harford",2024,3532,3.85180829167893
"Harford",2025,3760,6.45526613816534
"Harford",2026,3784,0.638297872340421
"Howard",2020,7061,NA
"Howard",2021,7131,0.991360997025925
"Howard",2022,7505,5.24470621231243
"Howard",2023,7860,4.73017988007995
"Howard",2024,8017,1.99745547073791
