"school_name","pct_change","hispanic_attendance","pct_hispanic","lea_name"
"Northwood High",-11.0659898477157,876,56.9570871261378,"Montgomery"
"Joann Leleck At Broad Acres Elementary",-10.9281437125748,595,87.6288659793814,"Montgomery"
"Dundalk High",-10.435663627153,884,47.374062165059,"Baltimore County"
"Springbrook High",-9.23076923076923,767,42.7536231884058,"Montgomery"
"Albert Einstein High",-8.98760330578512,881,45.9572248304643,"Montgomery"
"Quince Orchard High",-8.84265279583876,701,35.3148614609572,"Montgomery"
"Langley Park-Mccormick Elementary",-8.5419734904271,621,97.1830985915493,"Prince Georges"
"Frederick High",-8.47029077117573,724,42.093023255814,"Frederick"
"Rockville High",-8.42541436464088,663,43.1640625,"Montgomery"
"Northwestern High",-7.13877784123358,1626,72.1064301552106,"Prince Georges"
"Harmony Hills Elementary",-7.00179533213644,518,85.0574712643678,"Montgomery"
"John F. Kennedy High",-6.734534064213,1191,66.6107382550336,"Montgomery"
"Nicholas Orem Middle",-6.52173913043478,817,87.1002132196162,"Prince Georges"
"Annapolis High",-6.4922480620155,965,48.3466933867735,"Anne Arundel"
"Gaithersburg High",-6.47905759162304,1429,60.9901835253948,"Montgomery"
"Sargent Shriver Elementary",-6.42361111111112,539,77.7777777777778,"Montgomery"
"Buck Lodge Middle",-6.22222222222222,844,73.2003469210755,"Prince Georges"
"Col. Zadok Magruder High",-6.12244897959183,690,43.0711610486891,"Montgomery"
"Weller Road Elementary",-5.86206896551724,546,81.8590704647676,"Montgomery"
"John Ruhrah Elementary/Middle",-5.67226890756303,898,89.3532338308458,"Baltimore City"
