County,FIPS,Percent,People
Maryland,24000,12.1,744272
United States,0,19,63131589
Garrett County,24023,1.3,377
Allegany County,24001,1.9,1260
Worcester County,24047,3.9,2090
Somerset County,24039,4.5,1099
Carroll County,24013,4.8,8333
Calvert County,24009,4.9,4620
Queen Annes County,24035,5.3,2678
Cecil County,24015,5.4,5617
Harford County,24025,5.6,14585
Kent County,24029,5.6,1074
Dorchester County,24019,5.9,1909
St. Marys County,24037,5.9,6805
Wicomico County,24045,6.9,7210
Washington County,24043,7.3,11320
Baltimore County,24005,7.4,63048
Charles County,24017,7.5,12648
Baltimore City,24510,7.9,45420
Howard County,24027,8.4,28121
Caroline County,24011,8.8,2930
Talbot County,24041,9.1,3432
Anne Arundel County,24003,10,59213
Frederick County,24021,12.3,34570
Montgomery County,24031,20.6,218219
Prince Georges County,24033,21.7,207694
,,,
Suggested Citation:,,,
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 5/3/2026. Available from https://hdpulse.nimhd.nih.gov,,,
,,,
Notes:,,,
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity.",,,
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).,,,
"For more information about Population (Hispanic), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population.",,,
