"school_name","year","lea_name","hispanic_attendance","total_attendance","pct_hispanic","pct_change"
"High Point High",2025,"Prince Georges",2492,3012,82.7357237715804,3.91993327773144
"High Point High",2023,"Prince Georges",2422,3003,80.6526806526807,18.2040019521718
"High Point High",2024,"Prince Georges",2398,2960,81.0135135135135,-0.990916597853009
"High Point High",2026,"Prince Georges",2380,2865,83.0715532286213,-4.49438202247191
"High Point High",2020,"Prince Georges",2093,2747,76.1922096832909,NA
"High Point High",2022,"Prince Georges",2049,2627,77.997716025885,0.342801175318308
"High Point High",2021,"Prince Georges",2042,2634,77.5246772968869,-2.43669374104156
"Parkdale High",2024,"Prince Georges",1804,2571,70.1672500972384,2.03619909502262
"Parkdale High",2025,"Prince Georges",1794,2588,69.3199381761978,-0.554323725055428
"Parkdale High",2023,"Prince Georges",1768,2561,69.0355329949239,8.7330873308733
"Northwestern High",2025,"Prince Georges",1751,2396,73.0801335559265,1.44843568945539
"Parkdale High",2026,"Prince Georges",1728,2523,68.4898929845422,-3.67892976588629
"Northwestern High",2024,"Prince Georges",1726,2381,72.4905501889962,2.31179608772969
"Northwestern High",2023,"Prince Georges",1687,2346,71.9096334185848,8.07174887892377
"Wheaton High",2025,"Montgomery",1656,2794,59.2698639942734,4.4794952681388
"Bladensburg High",2025,"Prince Georges",1636,2114,77.3888363292337,2.44207889793362
"Bladensburg High",2023,"Prince Georges",1632,2164,75.4158964879852,11.7043121149897
"Northwestern High",2026,"Prince Georges",1626,2255,72.1064301552106,-7.13877784123358
"Parkdale High",2022,"Prince Georges",1626,2460,66.0975609756098,4.23076923076924
"Northwestern High",2021,"Prince Georges",1613,2313,69.7362732382188,0.561097256857845
"Northwestern High",2020,"Prince Georges",1604,2335,68.6937901498929,NA
"Bladensburg High",2024,"Prince Georges",1597,2095,76.2291169451074,-2.14460784313726
"Wheaton High",2024,"Montgomery",1585,2747,57.6993083363669,5.52596537949401
"Bladensburg High",2026,"Prince Georges",1569,2053,76.4247442766683,-4.09535452322738
"Wheaton High",2026,"Montgomery",1564,2689,58.162885831164,-5.55555555555556
"Northwestern High",2022,"Prince Georges",1561,2219,70.3470031545741,-3.2238065716057
"Parkdale High",2021,"Prince Georges",1560,2453,63.5955972278842,5.90631364562118
"Gaithersburg High",2025,"Montgomery",1528,2441,62.597296190086,0.394218134034174
"Gaithersburg High",2024,"Montgomery",1522,2454,62.0211898940505,4.74879559532002
"Wheaton High",2023,"Montgomery",1502,2599,57.7914582531743,12.5093632958801
"Parkdale High",2020,"Prince Georges",1473,2354,62.5743415463042,NA
"Bladensburg High",2022,"Prince Georges",1461,1965,74.3511450381679,4.65616045845272
"Gaithersburg High",2023,"Montgomery",1453,2436,59.6469622331691,8.11011904761905
"Gaithersburg High",2026,"Montgomery",1429,2343,60.9901835253948,-6.47905759162304
"Bladensburg High",2021,"Prince Georges",1396,1933,72.2193481634765,0.503959683225341
"Bladensburg High",2020,"Prince Georges",1389,1936,71.745867768595,NA
"Gaithersburg High",2021,"Montgomery",1366,2359,57.9058923272573,2.93896006028636
"Gaithersburg High",2022,"Montgomery",1344,2285,58.8183807439825,-1.61054172767203
"Wheaton High",2022,"Montgomery",1335,2375,56.2105263157895,4.78806907378335
"Gaithersburg High",2020,"Montgomery",1327,2397,55.3608677513559,NA
